province,district,area_type,evidence_text,source_file,source_line
Adıyaman,şanlıurfa,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,"5.7.4. Tarım arazilerinin amaç dışı kullanımı taleplerinde, 5403 sayılı Toprak Koruma ve Arazi Kullanım Kanunu ve T.C. Gıda, Tarım ve Hayvancılık Bakanlığı’nın izni çerçevesinde bu plan karar ve hükümlerine göre işlem yapılacaktır. 5.7.2. Bu kapsamdaki tarım arazileri ve fiilen sulanan veya sulama projeleri ilgili kuruluşlar tarafından hazırlanmış ve yatırım programına alınmış / alınacak tarım arazilerinin tarımsal üretim amaçlı korunması esastır. 5.7.3. Yapılacak ifrazlarda 5403 sayılı Toprak Koruma ve Arazi Kullanım Kanunu ve ilgili yönetmelik hükümleri uyarınca işlem yapılacaktır. 5.7.4. Tarım arazilerinin amaç dışı kullanımı taleplerinde, 5403 sayılı Toprak Koruma ve Arazi Kullanım Kanunu ve T.C. Gıda, Tarım ve Hayvancılık Bakanlığı’nın izni çerçevesinde bu plan karar ve hükümlerine göre işlem yapılacaktır. 5.7.5. 5403 sayılı Toprak Koruma ve Arazi Kullanım Kanunu uyarınca belirlenmiş/belirlenecek tarım arazileri sınıflamalarına göre tarımsal amaçlı yapılaşmalar, bu planda belirlenen koşullara göre gerçekleştirilecektir. 5.7.6. 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanunu’nda dikili tarım arazisi, özel ürün arazisi ve fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde bu planın, “5.2.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde, hayvancılık tesisi yapılmasına izin verilmez.",100binlik/adıyaman-şanlıurfa-diyarbakır.txt,
Adıyaman,şanlıurfa,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,"5.7.6. 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanunu’nda dikili tarım arazisi, özel ürün arazisi ve fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde bu planın, “5.2.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde, hayvancılık tesisi yapılmasına izin verilmez. 5.7.4. Tarım arazilerinin amaç dışı kullanımı taleplerinde, 5403 sayılı Toprak Koruma ve Arazi Kullanım Kanunu ve T.C. Gıda, Tarım ve Hayvancılık Bakanlığı’nın izni çerçevesinde bu plan karar ve hükümlerine göre işlem yapılacaktır. 5.7.5. 5403 sayılı Toprak Koruma ve Arazi Kullanım Kanunu uyarınca belirlenmiş/belirlenecek tarım arazileri sınıflamalarına göre tarımsal amaçlı yapılaşmalar, bu planda belirlenen koşullara göre gerçekleştirilecektir. 5.7.6. 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanunu’nda dikili tarım arazisi, özel ürün arazisi ve fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde bu planın, “5.2.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde, hayvancılık tesisi yapılmasına izin verilmez. 5.7.7. Başbakanlık, Gıda Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafından uygulanan projeler, Avrupa Birliği kaynaklı projeler, Dünya Bankası destekli projeler, sosyal riski azaltma projesi kapsamında uygulanacak projeler gibi) ile destekleme projeleri ile en az 100 büyükbaş, 200 küçükbaş ve üzeri kapasiteli hayvancılık veya 50.000 adet ve üzeri kapasiteli kanatlı hayvancılık yatırımlarında yapılaşma emsali %50 oranında arttırılabilir. 5.7.8. Bu planın onayından önce yürürlükteki mevzuat uyarınca inşaat ruhsatı veya yapı kullanma izni verilmiş olan tarımsal amaçlı yapılara ilişkin haklar saklıdır.",100binlik/adıyaman-şanlıurfa-diyarbakır.txt,
Adıyaman,şanlıurfa,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,"5.7.7. Başbakanlık, Gıda Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafından uygulanan projeler, Avrupa Birliği kaynaklı projeler, Dünya Bankası destekli projeler, sosyal riski azaltma projesi kapsamında uygulanacak projeler gibi) ile destekleme projeleri ile en az 100 büyükbaş, 200 küçükbaş ve üzeri kapasiteli hayvancılık veya 50.000 adet ve üzeri kapasiteli kanatlı hayvancılık yatırımlarında yapılaşma emsali %50 oranında arttırılabilir. 5.7.5. 5403 sayılı Toprak Koruma ve Arazi Kullanım Kanunu uyarınca belirlenmiş/belirlenecek tarım arazileri sınıflamalarına göre tarımsal amaçlı yapılaşmalar, bu planda belirlenen koşullara göre gerçekleştirilecektir. 5.7.6. 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanunu’nda dikili tarım arazisi, özel ürün arazisi ve fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde bu planın, “5.2.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde, hayvancılık tesisi yapılmasına izin verilmez. 5.7.7. Başbakanlık, Gıda Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafından uygulanan projeler, Avrupa Birliği kaynaklı projeler, Dünya Bankası destekli projeler, sosyal riski azaltma projesi kapsamında uygulanacak projeler gibi) ile destekleme projeleri ile en az 100 büyükbaş, 200 küçükbaş ve üzeri kapasiteli hayvancılık veya 50.000 adet ve üzeri kapasiteli kanatlı hayvancılık yatırımlarında yapılaşma emsali %50 oranında arttırılabilir. 5.7.8. Bu planın onayından önce yürürlükteki mevzuat uyarınca inşaat ruhsatı veya yapı kullanma izni verilmiş olan tarımsal amaçlı yapılara ilişkin haklar saklıdır. 5.7.9. Tarım alanlarında yapılacak tarımsal amaçlı yapılar için bu plan ile verilmiş olan yapılanma koşulları aşılamaz. Maksimum yapı yüksekliği ihtiyaç doğrultusunda Tarım ve Orman Bakanlığı/Tarım ve Orman İl Müdürlüğü’nün görüşü de alınarak alt ölçekli imar planlarında belirlenecektir. Tarımsal amaçlı silolar projesine göre belirlenebilir. Bu planda yer almayan hususlarda ise 3194 sayılı İmar Kanunu Plansız Alanlar İmar Yönetmeliği’nin 6. Bölümünde belirtilen esaslara uyulur.",100binlik/adıyaman-şanlıurfa-diyarbakır.txt,
Adıyaman,şanlıurfa,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,"5.8.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve “Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği” hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Tarım Gıda ve Hayvancılık Bakanlığı’nın emrine geçen tarım arazisi, tarım dışı amaçla kullanılamaz. 5.8.1. Bu arazilerde, ilgili kanun kapsamında yapılan/yapılacak uygulamalarda bu plan kararlarına uyulacaktır. 5.8.2. Yapılacak ifrazlarda 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu ve ilgili yönetmelik hükümleri uyarınca işlem yapılacaktır. 5.8.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve “Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği” hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Tarım Gıda ve Hayvancılık Bakanlığı’nın emrine geçen tarım arazisi, tarım dışı amaçla kullanılamaz. 5.8.4. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu uyarınca sulama alanı ve sulu arazi olarak belirlenen/belirlenecek tarım arazilerinde bu planın “5.2.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez. 5.8.5. Başbakanlık, Gıda Tarım Ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafından uygulanan projeler, Avrupa Birliği kaynaklı projeler, Dünya Bankası destekli projeler, sosyal riski azaltma projesi kapsamında uygulanacak projeler gibi) ile destekleme projeleri ile en az 100 büyükbaş, 200 küçükbaş ve üzeri kapasiteli hayvancılık veya 50.000 adet ve üzeri kapasiteli kanatlı hayvancılık yatırımlarında yapılaşma emsali %50 oranında arttırılabilir.",100binlik/adıyaman-şanlıurfa-diyarbakır.txt,
Adıyaman,şanlıurfa,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,"5.8.4. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu uyarınca sulama alanı ve sulu arazi olarak belirlenen/belirlenecek tarım arazilerinde bu planın “5.2.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez. 5.8.2. Yapılacak ifrazlarda 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu ve ilgili yönetmelik hükümleri uyarınca işlem yapılacaktır. 5.8.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve “Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği” hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Tarım Gıda ve Hayvancılık Bakanlığı’nın emrine geçen tarım arazisi, tarım dışı amaçla kullanılamaz. 5.8.4. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu uyarınca sulama alanı ve sulu arazi olarak belirlenen/belirlenecek tarım arazilerinde bu planın “5.2.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez. 5.8.5. Başbakanlık, Gıda Tarım Ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafından uygulanan projeler, Avrupa Birliği kaynaklı projeler, Dünya Bankası destekli projeler, sosyal riski azaltma projesi kapsamında uygulanacak projeler gibi) ile destekleme projeleri ile en az 100 büyükbaş, 200 küçükbaş ve üzeri kapasiteli hayvancılık veya 50.000 adet ve üzeri kapasiteli kanatlı hayvancılık yatırımlarında yapılaşma emsali %50 oranında arttırılabilir. 5.8.6. Bu arazilerde tarımsal amaçlı yapılar yapılabilir. Çiftçinin barınabileceği yapı emsale dâhil olup toplam inşaat alanı 75 m²’yi geçemez. Tarımsal amaçlı yapılar için Maks. Emsal=0,20’dir. Maksimum yapı yüksekliği ihtiyaç doğrultusunda Tarım ve Orman Bakanlığı/Tarım ve Orman İl Müdürlüğü’nün görüşü de alınarak alt ölçekli imar planlarında belirlenecektir. Tarımsal amaçlı silolar projesine göre belirlenebilir.",100binlik/adıyaman-şanlıurfa-diyarbakır.txt,
Adıyaman,şanlıurfa,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,"5.8.5. Başbakanlık, Gıda Tarım Ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafından uygulanan projeler, Avrupa Birliği kaynaklı projeler, Dünya Bankası destekli projeler, sosyal riski azaltma projesi kapsamında uygulanacak projeler gibi) ile destekleme projeleri ile en az 100 büyükbaş, 200 küçükbaş ve üzeri kapasiteli hayvancılık veya 50.000 adet ve üzeri kapasiteli kanatlı hayvancılık yatırımlarında yapılaşma emsali %50 oranında arttırılabilir. 5.8.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve “Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği” hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Tarım Gıda ve Hayvancılık Bakanlığı’nın emrine geçen tarım arazisi, tarım dışı amaçla kullanılamaz. 5.8.4. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu uyarınca sulama alanı ve sulu arazi olarak belirlenen/belirlenecek tarım arazilerinde bu planın “5.2.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez. 5.8.5. Başbakanlık, Gıda Tarım Ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafından uygulanan projeler, Avrupa Birliği kaynaklı projeler, Dünya Bankası destekli projeler, sosyal riski azaltma projesi kapsamında uygulanacak projeler gibi) ile destekleme projeleri ile en az 100 büyükbaş, 200 küçükbaş ve üzeri kapasiteli hayvancılık veya 50.000 adet ve üzeri kapasiteli kanatlı hayvancılık yatırımlarında yapılaşma emsali %50 oranında arttırılabilir. 5.8.6. Bu arazilerde tarımsal amaçlı yapılar yapılabilir. Çiftçinin barınabileceği yapı emsale dâhil olup toplam inşaat alanı 75 m²’yi geçemez. Tarımsal amaçlı yapılar için Maks. Emsal=0,20’dir. Maksimum yapı yüksekliği ihtiyaç doğrultusunda Tarım ve Orman Bakanlığı/Tarım ve Orman İl Müdürlüğü’nün görüşü de alınarak alt ölçekli imar planlarında belirlenecektir. Tarımsal amaçlı silolar projesine göre belirlenebilir. 5.8.7. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu Kapsamı Dışına Çıkarılması Durumunda, bu arazilerde, “5.7. Tarım Arazileri” plan hükümlerine uyulacaktır.",100binlik/adıyaman-şanlıurfa-diyarbakır.txt,
Mardin,batman,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,"8.3.9.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve “Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği” hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Tarım, Gıda ve Hayvancılık Bakanlığı’nın emrine geçen tarım arazisi, tarım dışı amaçla kullanılamaz. 8.3.9.1. Bu arazilerde, ilgili kanun kapsamında yapılan/yapılacak uygulamalarda bu plan kararlarına uyulacaktır. 8.3.9.2. Yapılacak ifrazlarda 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu ve ilgili yönetmelik hükümleri uyarınca işlem yapılacaktır. 8.3.9.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve “Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği” hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Tarım, Gıda ve Hayvancılık Bakanlığı’nın emrine geçen tarım arazisi, tarım dışı amaçla kullanılamaz. 8.3.9.4. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu uyarınca sulama alanı ve sulu arazi olarak belirlenen/belirlenecek tarım arazilerinde bu planın “8.3.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez. 8.3.9.5. Başbakanlık, Gıda, Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar... ile destekleme projeleri ile en az 100 büyükbaş, 200 küçükbaş ve üzeri kapasiteli hayvancılık veya 50.000 adet ve üzeri kapasiteli kanatlı hayvancılık yatırımlarında yukarıda belirtilen yapılaşma emsali %50 oranında arttırılabilir.",100binlik/mardin-batman-şırnak-siirt-hakkari.txt,
Mardin,batman,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,"8.3.9.4. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu uyarınca sulama alanı ve sulu arazi olarak belirlenen/belirlenecek tarım arazilerinde bu planın “8.3.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez. 8.3.9.2. Yapılacak ifrazlarda 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu ve ilgili yönetmelik hükümleri uyarınca işlem yapılacaktır. 8.3.9.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve “Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği” hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Tarım, Gıda ve Hayvancılık Bakanlığı’nın emrine geçen tarım arazisi, tarım dışı amaçla kullanılamaz. 8.3.9.4. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu uyarınca sulama alanı ve sulu arazi olarak belirlenen/belirlenecek tarım arazilerinde bu planın “8.3.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez. 8.3.9.5. Başbakanlık, Gıda, Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar... ile destekleme projeleri ile en az 100 büyükbaş, 200 küçükbaş ve üzeri kapasiteli hayvancılık veya 50.000 adet ve üzeri kapasiteli kanatlı hayvancılık yatırımlarında yukarıda belirtilen yapılaşma emsali %50 oranında arttırılabilir. 8.3.9.6. Bu arazilerde; tarımsal amaçlı yapılar yapılabilir. Çiftçinin barınabileceği yapı emsale dahil olup inşaat alanı 75 m2’yi geçemez. Tarımsal amaçlı yapılar için maks. emsal = 0,20’dir.",100binlik/mardin-batman-şırnak-siirt-hakkari.txt,
Mardin,batman,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,"8.3.9.5. Başbakanlık, Gıda, Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar... ile destekleme projeleri ile en az 100 büyükbaş, 200 küçükbaş ve üzeri kapasiteli hayvancılık veya 50.000 adet ve üzeri kapasiteli kanatlı hayvancılık yatırımlarında yukarıda belirtilen yapılaşma emsali %50 oranında arttırılabilir. 8.3.9.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve “Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği” hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Tarım, Gıda ve Hayvancılık Bakanlığı’nın emrine geçen tarım arazisi, tarım dışı amaçla kullanılamaz. 8.3.9.4. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu uyarınca sulama alanı ve sulu arazi olarak belirlenen/belirlenecek tarım arazilerinde bu planın “8.3.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde hayvancılık tesisi yapılmasına izin verilmez. 8.3.9.5. Başbakanlık, Gıda, Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar... ile destekleme projeleri ile en az 100 büyükbaş, 200 küçükbaş ve üzeri kapasiteli hayvancılık veya 50.000 adet ve üzeri kapasiteli kanatlı hayvancılık yatırımlarında yukarıda belirtilen yapılaşma emsali %50 oranında arttırılabilir. 8.3.9.6. Bu arazilerde; tarımsal amaçlı yapılar yapılabilir. Çiftçinin barınabileceği yapı emsale dahil olup inşaat alanı 75 m2’yi geçemez. Tarımsal amaçlı yapılar için maks. emsal = 0,20’dir. 8.3.9.7. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu kapsamı dışına çıkarılması durumunda, bu arazilerde, “8.3.8. Tarım Arazileri” plan hükümlerine uyulacaktır.",100binlik/mardin-batman-şırnak-siirt-hakkari.txt,
