index,province,district,area_type,has_hayvancil,evidence_snippet,source_file
1,Adıyaman,şanlıurfa,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,yes,"5.7.4. Tarım arazilerinin amaç dışı kullanımı taleplerinde, 5403 sayılı Toprak Koruma ve Arazi Kullanım Kanunu ve T.C. Gıda, Tarım ve Hayvancılık Bakanlığı’nın izni çerçevesinde bu plan karar ve hükümlerine göre işlem yapılacaktır. 5.7.2. Bu kapsamdaki tarım arazileri ve fiilen sulanan veya sulama p...",100binlik/adıyaman-şanlıurfa-diyarbakır.txt
2,Adıyaman,şanlıurfa,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,yes,"5.7.6. 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanunu’nda dikili tarım arazisi, özel ürün arazisi ve fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde bu planın, “5.2.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar ...",100binlik/adıyaman-şanlıurfa-diyarbakır.txt
3,Adıyaman,şanlıurfa,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,yes,"5.7.7. Başbakanlık, Gıda Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafında...",100binlik/adıyaman-şanlıurfa-diyarbakır.txt
4,Adıyaman,şanlıurfa,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,"5.8.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve “Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği” hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Tarım Gıda ve Hayv...",100binlik/adıyaman-şanlıurfa-diyarbakır.txt
5,Adıyaman,şanlıurfa,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,5.8.4. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu uyarınca sulama alanı ve sulu arazi olarak belirlenen/belirlenecek tarım arazilerinde bu planın “5.2.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricind...,100binlik/adıyaman-şanlıurfa-diyarbakır.txt
6,Adıyaman,şanlıurfa,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,"5.8.5. Başbakanlık, Gıda Tarım Ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafında...",100binlik/adıyaman-şanlıurfa-diyarbakır.txt
7,Mardin,batman,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,"8.3.9.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve “Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği” hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Tarım, Gıda ve H...",100binlik/mardin-batman-şırnak-siirt-hakkari.txt
8,Mardin,batman,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,8.3.9.4. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu uyarınca sulama alanı ve sulu arazi olarak belirlenen/belirlenecek tarım arazilerinde bu planın “8.3.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar harici...,100binlik/mardin-batman-şırnak-siirt-hakkari.txt
9,Mardin,batman,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,"8.3.9.5. Başbakanlık, Gıda, Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar... ile destekleme projeleri ile en az 100 büyükbaş, 200 küçükbaş ve üzeri kapasiteli hayvancılık ...",100binlik/mardin-batman-şırnak-siirt-hakkari.txt
10,Ardahan,kars,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,yes,8.8.4. 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanununda tanımlanan dikili tarım arazisi ve özel ürün arazisi ile fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde bu planın “8.3.7. Organize Tarım/Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uyg...,100binlik/ardahan-kars-ığdır-ağrı.txt
11,Ardahan,kars,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,yes,"8.8.5. Başbakanlık, T.C. Gıda, Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tar...",100binlik/ardahan-kars-ığdır-ağrı.txt
12,Ardahan,kars,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,"8.9.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve “Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği” hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Tarım, Gıda ve Hay...",100binlik/ardahan-kars-ığdır-ağrı.txt
13,Ardahan,kars,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,8.9.4. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu uyarınca sulama alanı ve sulu arazi olarak belirlenen/belirlenecek tarım arazilerinde bu planın “8.3.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricind...,100binlik/ardahan-kars-ığdır-ağrı.txt
14,Ardahan,kars,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,"8.9.5. Başbakanlık, Gıda, Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafınd...",100binlik/ardahan-kars-ığdır-ağrı.txt
15,İzmir,,Koruma/Koruma Alanları;Mutlak Tarım Arazileri;Sulama Alanları,yes,"5- Bu alanlarda hayvancılık ve tarıma hiçbir şekilde izin verilemez. 4-Göl alanı maksimum su kotu içinde kalan arazilerde tarım yapmak, tarımsal sulama yapmak, hayvan otlatmak... yasaktır. 7.38.9.2.17.1.2. Mutlak Koruma Alanı (0-300 Metre) 5- Bu alanlarda hayvancılık ve tarıma hiçbir şekilde izin ve...",25binlik/izmir.txt
16,İzmir,,Koruma/Koruma Alanları,yes,"2- Bu alanlarda hayvancılığa izin verilmez. Ekolojik tarıma sözleşmeli olması koşulu ile izin verilir. Ekolojik tarıma geçiş süresince, sulu olmaması, suni gübre ve zirai mücadele ilacı kullanılmaması koşulu ile tarıma izin verilir. 5- Bu alanlarda hayvancılık ve tarıma hiçbir şekilde izin verilemez...",25binlik/izmir.txt
17,İzmir,,Koruma/Koruma Alanları,yes,"2- Bu alanlarda yeni sanayi, hayvancılık ve her türlü depolama tesislerine... izin verilmez. Entegre niteliği olmayan, köklendirme, şaşırtma ve yetiştirme işlemleri beton platformlar üzerinde yapılan tabla seracılığına, ekolojik tarıma İZSU Genel Müdürlüğünün uygun görüşü alınmak şartıyla izin veril...",25binlik/izmir.txt
18,Adıyaman,şanlıurfa,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,yes,"5.7.4. Tarım arazilerinin amaç dışı kullanımı taleplerinde, 5403 sayılı Toprak Koruma ve Arazi Kullanım Kanunu ve T.C. Gıda, Tarım ve Hayvancılık Bakanlığı’nın izni çerçevesinde bu plan karar ve hükümlerine göre işlem yapılacaktır. 5.7.2. Bu kapsamdaki tarım arazileri ve fiilen sulanan veya sulama p...",webimar-nextjs/data/100binlik/adıyaman-şanlıurfa-diyarbakır.txt
19,Adıyaman,şanlıurfa,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,yes,"5.7.6. 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanunu’nda dikili tarım arazisi, özel ürün arazisi ve fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde bu planın, “5.2.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar ...",webimar-nextjs/data/100binlik/adıyaman-şanlıurfa-diyarbakır.txt
20,Adıyaman,şanlıurfa,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,yes,"5.7.7. Başbakanlık, Gıda Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafında...",webimar-nextjs/data/100binlik/adıyaman-şanlıurfa-diyarbakır.txt
21,Adıyaman,şanlıurfa,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,"5.8.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve “Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği” hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Tarım Gıda ve Hayv...",webimar-nextjs/data/100binlik/adıyaman-şanlıurfa-diyarbakır.txt
22,Adıyaman,şanlıurfa,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,5.8.4. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu uyarınca sulama alanı ve sulu arazi olarak belirlenen/belirlenecek tarım arazilerinde bu planın “5.2.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricind...,webimar-nextjs/data/100binlik/adıyaman-şanlıurfa-diyarbakır.txt
23,Adıyaman,şanlıurfa,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,"5.8.5. Başbakanlık, Gıda Tarım Ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafında...",webimar-nextjs/data/100binlik/adıyaman-şanlıurfa-diyarbakır.txt
24,Mardin,batman,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,"8.3.9.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve “Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği” hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Tarım, Gıda ve H...",webimar-nextjs/data/100binlik/mardin-batman-şırnak-siirt-hakkari.txt
25,Mardin,batman,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,8.3.9.4. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu uyarınca sulama alanı ve sulu arazi olarak belirlenen/belirlenecek tarım arazilerinde bu planın “8.3.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar harici...,webimar-nextjs/data/100binlik/mardin-batman-şırnak-siirt-hakkari.txt
26,Mardin,batman,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,"8.3.9.5. Başbakanlık, Gıda, Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar... ile destekleme projeleri ile en az 100 büyükbaş, 200 küçükbaş ve üzeri kapasiteli hayvancılık ...",webimar-nextjs/data/100binlik/mardin-batman-şırnak-siirt-hakkari.txt
27,Ardahan,kars,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,yes,8.8.4. 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanununda tanımlanan dikili tarım arazisi ve özel ürün arazisi ile fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde bu planın “8.3.7. Organize Tarım/Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uyg...,webimar-nextjs/data/100binlik/ardahan-kars-ığdır-ağrı.txt
28,Ardahan,kars,Dikili Tarım Arazileri;Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,yes,"8.8.5. Başbakanlık, T.C. Gıda, Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tar...",webimar-nextjs/data/100binlik/ardahan-kars-ığdır-ağrı.txt
29,Ardahan,kars,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,"8.9.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve “Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği” hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Tarım, Gıda ve Hay...",webimar-nextjs/data/100binlik/ardahan-kars-ığdır-ağrı.txt
30,Ardahan,kars,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,8.9.4. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu uyarınca sulama alanı ve sulu arazi olarak belirlenen/belirlenecek tarım arazilerinde bu planın “8.3.7. Organize Tarım ve Hayvancılık Alanları” hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricind...,webimar-nextjs/data/100binlik/ardahan-kars-ığdır-ağrı.txt
31,Ardahan,kars,Organize Tarım/Hayvancılık Alanları;Sulama Alanları,yes,"8.9.5. Başbakanlık, Gıda, Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklenen projeye dayalı tarımsal faaliyetler kapsamında tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafınd...",webimar-nextjs/data/100binlik/ardahan-kars-ığdır-ağrı.txt
